,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
10636,0.751,0.0948,4,-20.83,1,0.0606,0.797,0.00494,0.109,0.458,64.066,audio_features,6TjvnTIQWBviDN1vkRCX2Q,spotify:track:6TjvnTIQWBviDN1vkRCX2Q,https://api.spotify.com/v1/tracks/6TjvnTIQWBviDN1vkRCX2Q,https://api.spotify.com/v1/audio-analysis/6TjvnTIQWBviDN1vkRCX2Q,171528,4,Dancing Alone,Black Pool,dreampop
10637,0.703,0.17,11,-16.569,0,0.0468,0.895,2.24e-06,0.124,0.735,144.066,audio_features,6c1T4m4RcD1RMF7ROmcbh2,spotify:track:6c1T4m4RcD1RMF7ROmcbh2,https://api.spotify.com/v1/tracks/6c1T4m4RcD1RMF7ROmcbh2,https://api.spotify.com/v1/audio-analysis/6c1T4m4RcD1RMF7ROmcbh2,134744,4,Baby Please,Black Pool,dreampop
10638,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,audio_features,78MI7mu1LV1k4IA2HzKmHe,spotify:track:78MI7mu1LV1k4IA2HzKmHe,https://api.spotify.com/v1/tracks/78MI7mu1LV1k4IA2HzKmHe,https://api.spotify.com/v1/audio-analysis/78MI7mu1LV1k4IA2HzKmHe,185160,4,Dream A Little Dream Of Me - Single Version,Ella Fitzgerald,dreampop
10639,0.614,0.526,0,-11.472,1,0.0343,0.632,0.801,0.299,0.351,176.995,audio_features,0jX5phmoEyevUXOk6WH3Iz,spotify:track:0jX5phmoEyevUXOk6WH3Iz,https://api.spotify.com/v1/tracks/0jX5phmoEyevUXOk6WH3Iz,https://api.spotify.com/v1/audio-analysis/0jX5phmoEyevUXOk6WH3Iz,199297,4,Databend,Jack Stauber,dreampop
10640,0.52,0.44,9,-12.165,0,0.043,0.21,0.00531,0.115,0.672,94.955,audio_features,6LG8oSODi4k1DOePFbAlki,spotify:track:6LG8oSODi4k1DOePFbAlki,https://api.spotify.com/v1/tracks/6LG8oSODi4k1DOePFbAlki,https://api.spotify.com/v1/audio-analysis/6LG8oSODi4k1DOePFbAlki,333045,4,Hard to Move,Triathalon,dreampop
10641,0.643,0.492,4,-9.314,0,0.0387,0.181,0.033,0.798,0.601,107.954,audio_features,5yhQS5ce3WebABcdngULA8,spotify:track:5yhQS5ce3WebABcdngULA8,https://api.spotify.com/v1/tracks/5yhQS5ce3WebABcdngULA8,https://api.spotify.com/v1/audio-analysis/5yhQS5ce3WebABcdngULA8,186105,4,Dead Weight,Jack Stauber,dreampop
10642,0.742,0.678,5,-4.605,0,0.192,0.0698,0.0,0.151,0.927,115.05,audio_features,6JqYhSdTE4WbQrMXxPH5cD,spotify:track:6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/tracks/6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/audio-analysis/6JqYhSdTE4WbQrMXxPH5cD,135521,4,Honeypie,JAWNY,dreampop
10643,0.517,0.342,10,-19.893,1,0.0296,0.962,0.788,0.0986,0.164,78.98,audio_features,72d3ygT5MW5ymlzOQTSU4c,spotify:track:72d3ygT5MW5ymlzOQTSU4c,https://api.spotify.com/v1/tracks/72d3ygT5MW5ymlzOQTSU4c,https://api.spotify.com/v1/audio-analysis/72d3ygT5MW5ymlzOQTSU4c,152104,4,Cute,Kiefer,dreampop
10644,0.697,0.504,9,-6.638,0,0.0505,0.263,0.0391,0.0927,0.325,95.086,audio_features,3gpmirHcjBgoLnHNxoifdC,spotify:track:3gpmirHcjBgoLnHNxoifdC,https://api.spotify.com/v1/tracks/3gpmirHcjBgoLnHNxoifdC,https://api.spotify.com/v1/audio-analysis/3gpmirHcjBgoLnHNxoifdC,157895,4,What A Day,Kiefer,dreampop
10645,0.751,0.473,1,-11.458,1,0.199,0.216,0.0774,0.267,0.868,147.437,audio_features,6y5CTUxwSD9yM8656nqOEV,spotify:track:6y5CTUxwSD9yM8656nqOEV,https://api.spotify.com/v1/tracks/6y5CTUxwSD9yM8656nqOEV,https://api.spotify.com/v1/audio-analysis/6y5CTUxwSD9yM8656nqOEV,127044,4,Ipanema,Still Woozy,dreampop
10646,0.479,0.552,1,-6.642,1,0.245,0.171,1.21e-05,0.0661,0.659,180.963,audio_features,1JVN2oMHiWXHD5j5nhniST,spotify:track:1JVN2oMHiWXHD5j5nhniST,https://api.spotify.com/v1/tracks/1JVN2oMHiWXHD5j5nhniST,https://api.spotify.com/v1/audio-analysis/1JVN2oMHiWXHD5j5nhniST,232587,3,Wreckless Love,Alicia Keys,dreampop
10647,0.636,0.826,11,-4.668,1,0.161,0.632,0.0,0.197,0.677,87.665,audio_features,34ClgyHf8Awds1ew9vMX26,spotify:track:34ClgyHf8Awds1ew9vMX26,https://api.spotify.com/v1/tracks/34ClgyHf8Awds1ew9vMX26,https://api.spotify.com/v1/audio-analysis/34ClgyHf8Awds1ew9vMX26,190200,4,Teenage Love Affair,Alicia Keys,dreampop
