,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
6679,0.458,0.69,10,-11.593,0,0.0394,0.531,0.913,0.135,0.492,107.316,audio_features,0Qqep9abOtBxR7TAt59MDF,spotify:track:0Qqep9abOtBxR7TAt59MDF,https://api.spotify.com/v1/tracks/0Qqep9abOtBxR7TAt59MDF,https://api.spotify.com/v1/audio-analysis/0Qqep9abOtBxR7TAt59MDF,304080,3,Nengueleru,Stefon Harris,jazz
6680,0.795,0.276,2,-8.015,1,0.04,0.847,0.0,0.12,0.631,117.979,audio_features,1kLplichTf2yemEEz7kD9u,spotify:track:1kLplichTf2yemEEz7kD9u,https://api.spotify.com/v1/tracks/1kLplichTf2yemEEz7kD9u,https://api.spotify.com/v1/audio-analysis/1kLplichTf2yemEEz7kD9u,244376,4,C'est La Vie,Hwaii,k-pop
6681,0.467,0.0865,2,-20.079,0,0.0501,0.994,0.901,0.0815,0.17,181.096,audio_features,7jlnnRcfjBJdJTrIuuDoW1,spotify:track:7jlnnRcfjBJdJTrIuuDoW1,https://api.spotify.com/v1/tracks/7jlnnRcfjBJdJTrIuuDoW1,https://api.spotify.com/v1/audio-analysis/7jlnnRcfjBJdJTrIuuDoW1,184467,4,Indigo,Yiruma,k-pop
6682,0.411,0.419,1,-7.707,1,0.0317,0.812,0.0,0.0838,0.252,139.259,audio_features,6J4SJGJzFtOSHAk9smrsGe,spotify:track:6J4SJGJzFtOSHAk9smrsGe,https://api.spotify.com/v1/tracks/6J4SJGJzFtOSHAk9smrsGe,https://api.spotify.com/v1/audio-analysis/6J4SJGJzFtOSHAk9smrsGe,204987,4,널 위해 부르는 이 노래,BoM,k-pop
6683,0.655,0.77,8,-4.487,1,0.0542,0.0422,0.0,0.263,0.475,127.974,audio_features,6q1JL5R6GVPu1Yqq4aNpAs,spotify:track:6q1JL5R6GVPu1Yqq4aNpAs,https://api.spotify.com/v1/tracks/6q1JL5R6GVPu1Yqq4aNpAs,https://api.spotify.com/v1/audio-analysis/6q1JL5R6GVPu1Yqq4aNpAs,250720,4,Ugly,2NE1,k-pop
6684,0.673,0.771,2,-2.937,1,0.0302,0.0345,0.0,0.242,0.559,131.93,audio_features,1lwxvwCZvdXKzjVqzjAPep,spotify:track:1lwxvwCZvdXKzjVqzjAPep,https://api.spotify.com/v1/tracks/1lwxvwCZvdXKzjVqzjAPep,https://api.spotify.com/v1/audio-analysis/1lwxvwCZvdXKzjVqzjAPep,221240,4,Stand Up,BTOB,k-pop
6685,0.889,0.94,1,-0.68,0,0.0886,0.149,0.0,0.171,0.869,114.995,audio_features,4LkxpISm6O9HavtleyFXkw,spotify:track:4LkxpISm6O9HavtleyFXkw,https://api.spotify.com/v1/tracks/4LkxpISm6O9HavtleyFXkw,https://api.spotify.com/v1/audio-analysis/4LkxpISm6O9HavtleyFXkw,226893,4,The Boys,Girls' Generation,k-pop
6686,0.886,0.199,2,-15.5,1,0.118,0.84,0.821,0.119,0.459,75.033,audio_features,6ShM2L8NSn3OkJGCYuGxNb,spotify:track:6ShM2L8NSn3OkJGCYuGxNb,https://api.spotify.com/v1/tracks/6ShM2L8NSn3OkJGCYuGxNb,https://api.spotify.com/v1/audio-analysis/6ShM2L8NSn3OkJGCYuGxNb,116301,4,Missing U (박재범 댄스 Scene),Unknown,k-pop
6687,0.69,0.946,2,-4.117,0,0.0486,0.00238,0.323,0.188,0.965,138.007,audio_features,6OlozZELup8ADBpRRRcu4H,spotify:track:6OlozZELup8ADBpRRRcu4H,https://api.spotify.com/v1/tracks/6OlozZELup8ADBpRRRcu4H,https://api.spotify.com/v1/audio-analysis/6OlozZELup8ADBpRRRcu4H,199080,4,대찬인생 (MR),Park Hyun-Bin,k-pop
6688,0.603,0.836,7,-5.261,1,0.0269,0.041,0.0412,0.135,0.307,128.985,audio_features,4kr2Hhxe1GnAHwgSRgAiF4,spotify:track:4kr2Hhxe1GnAHwgSRgAiF4,https://api.spotify.com/v1/tracks/4kr2Hhxe1GnAHwgSRgAiF4,https://api.spotify.com/v1/audio-analysis/4kr2Hhxe1GnAHwgSRgAiF4,226047,4,짝 (inst.),lady Jane,k-pop
